itm_no_item|GEÇERSİZ ITEM
itm_no_item_pl|GEÇERSİZ ITEM
itm_no_item|GEÇERSİZ ITEM
itm_no_item_pl|GEÇERSİZ ITEM
itm_tutorial_spear|Mızrak
itm_tutorial_spear_pl|Mızrak
itm_tutorial_club|Sopa
itm_tutorial_club_pl|Sopa
itm_tutorial_battle_axe|Savaş Baltası
itm_tutorial_battle_axe_pl|Savaş Baltası
itm_tutorial_arrows|Oklar
itm_tutorial_arrows_pl|Oklar
itm_tutorial_bolts|Kundak oku
itm_tutorial_bolts_pl|Kundak oku
itm_tutorial_short_bow|Kısa Yay
itm_tutorial_short_bow_pl|Kısa Yay
itm_tutorial_crossbow|Kundaklı Yay
itm_tutorial_crossbow_pl|Kundaklı Yay
itm_tutorial_throwing_daggers|Fırlatma Hançeri
itm_tutorial_throwing_daggers_pl|Fırlatma Hançeri
itm_tutorial_saddle_horse|Binek Atı
itm_tutorial_saddle_horse_pl|Binek Atı
itm_tutorial_shield|İstavroz Kalkan
itm_tutorial_shield_pl|İstavroz Kalkan
itm_tutorial_staff_no_attack|Asa
itm_tutorial_staff_no_attack_pl|Asa
itm_tutorial_staff|Asa
itm_tutorial_staff_pl|Asa
itm_tutorial_sword|Kılıç
itm_tutorial_sword_pl|Kılıç
itm_tutorial_axe|Balta
itm_tutorial_axe_pl|Balta
itm_tutorial_dagger|Hançer
itm_tutorial_dagger_pl|Hançer
itm_horse_meat|At Eti
itm_horse_meat_pl|At Eti
itm_practice_sword|Talim Kılıcı
itm_practice_sword_pl|Talim Kılıcı
itm_heavy_practice_sword|Ağır Talim Kılıcı
itm_heavy_practice_sword_pl|Ağır Talim Kılıcı
itm_practice_dagger|Talim Hançeri
itm_practice_dagger_pl|Talim Hançeri
itm_practice_axe|Talim Baltası
itm_practice_axe_pl|Talim Baltası
itm_arena_axe|Balta
itm_arena_axe_pl|Balta
itm_arena_sword|Kılıç
itm_arena_sword_pl|Kılıç
itm_arena_sword_two_handed|Çift Elli Kılıç
itm_arena_sword_two_handed_pl|Çift Elli Kılıç
itm_arena_lance|Kargı
itm_arena_lance_pl|Kargı
itm_practice_staff|Talim Sopası
itm_practice_staff_pl|Talim Sopası
itm_practice_lance|Talim Kargısı
itm_practice_lance_pl|Talim Kargısı
itm_practice_shield|Talim Kalkanı
itm_practice_shield_pl|Talim Kalkanı
itm_practice_bow|Talim Yayı
itm_practice_bow_pl|Talim Yayı
itm_practice_crossbow|Talim Kundaklı Yayı
itm_practice_crossbow_pl|Talim Kundaklı Yayı
itm_practice_javelin|Talim Cidası
itm_practice_javelin_pl|Talim Cidası
itm_practice_javelin_melee|Cirit talimi yap
itm_practice_javelin_melee_pl|Cirit talimi yap
itm_practice_throwing_daggers|Fırlatma Hançeri
itm_practice_throwing_daggers_pl|Fırlatma Hançeri
itm_practice_throwing_daggers_100_amount|Fırlatma Hançeri
itm_practice_throwing_daggers_100_amount_pl|Fırlatma Hançeri
itm_practice_horse|Talim Atı
itm_practice_horse_pl|Talim Atı
itm_practice_horse1|Talim Atı
itm_practice_horse1_pl|Talim Atı
itm_practice_horse2|Talim Atı
itm_practice_horse2_pl|Talim Atı
itm_practice_arrows|Talim Oku
itm_practice_arrows_pl|Talim Oku
itm_practice_bolts|Talim Kısa Oku
itm_practice_bolts_pl|Talim Kısa Oku
itm_practice_arrows_10_amount|Talim Oku
itm_practice_arrows_10_amount_pl|Talim Oku
itm_practice_arrows_100_amount|Talim Oku
itm_practice_arrows_100_amount_pl|Talim Oku
itm_practice_bolts_9_amount|Talim Kısa Oku
